PRECINCT_ID,LARCENIES_PRECINCT
1,157
25,56
34,80
41,47
43,157
14,257
28,128
45,74
47,124
50,95
60,83
63,64
69,34
72,83
75,193
90,83
94,63
100,26
101,36
104,98
105,53
106,59
108,63
109,135
110,112
111,30
71,73
113,47
9,72
5,56
6,74
7,38
10,52
13,162
17,53
30,30
18,175
19,134
20,84
22,10
23,57
24,109
79,71
26,49
32,65
73,85
33,60
40,120
42,79
48,102
44,122
46,62
49,66
67,71
52,104
62,85
66,73
68,75
70,113
76,36
77,60
78,90
81,48
83,95
84,122
88,56
102,83
103,69
107,63
112,65
114,126
115,97
120,69
121,84
122,54
123,24
61,74
