PRECINCT_ID,NUM_BUS
1,30
25,28
34,42
41,24
43,73
14,24
28,36
45,59
47,61
50,43
60,45
63,48
69,24
72,31
75,65
90,34
94,16
100,21
101,19
104,59
105,67
106,39
108,63
109,126
110,44
111,48
71,44
113,62
9,32
5,12
6,14
7,28
10,20
13,55
17,41
30,26
18,38
19,65
20,57
22,0
23,38
24,48
79,51
26,36
32,43
73,48
33,37
40,39
42,34
48,36
44,38
46,41
49,72
67,37
52,59
62,45
66,40
68,43
70,42
76,19
77,43
78,15
81,38
83,19
84,38
88,25
102,71
103,46
107,119
112,51
114,109
115,43
120,68
121,42
122,80
123,26
61,89
