PRECINCT_ID,NUM_SBWYS
1,134
25,9
34,34
41,22
43,9
14,98
28,18
45,14
47,19
50,13
60,26
63,0
69,5
72,30
75,40
90,35
94,19
100,21
101,12
104,14
105,0
106,25
108,57
109,10
110,31
111,0
71,20
113,0
9,23
5,35
6,32
7,10
10,30
13,63
17,15
30,15
18,85
19,52
20,28
22,5
23,8
24,23
79,22
26,16
32,14
73,22
33,25
40,42
42,8
48,5
44,38
46,25
49,14
67,13
52,31
62,39
66,39
68,17
70,23
76,6
77,9
78,34
81,11
83,27
84,56
88,33
102,26
103,34
107,17
112,22
114,44
115,13
120,6
121,0
122,23
123,19
61,16
