PRECINCT_ID,NUM_WIFI
1,77
25,61
34,27
41,7
43,4
14,98
28,85
45,29
47,16
50,9
60,34
63,9
69,3
72,26
75,26
90,41
94,36
100,25
101,12
104,13
105,12
106,4
108,58
109,32
110,50
111,5
71,28
113,42
9,59
5,38
6,34
7,15
10,80
13,121
17,108
30,63
18,115
19,93
20,78
22,11
23,34
24,80
79,23
26,28
32,92
73,21
33,39
40,44
42,24
48,14
44,44
46,34
49,6
67,15
52,38
62,9
66,10
68,16
70,21
76,33
77,35
78,69
81,12
83,13
84,151
88,55
102,67
103,33
107,14
112,38
114,76
115,25
120,31
121,7
122,50
123,7
61,21
