"","precinct_averages"
"PRECINCT_AREA",109437257.098571
"PRECINCT_POP",106031.207792208
"PRECINCT_POPDENSITY",45015.8117937935
"LARCENIES_PRECINCT",82.2467532467532
"NUM_SBWYS",25.038961038961
"NUM_BUS",44.5584415584416
"NUM_WIFI",39.1298701298701
"NUM_MUNIMETER",190.714285714286
"NUM_LIBRARY",2.80519480519481
"DIST_ENTR_MEAN",689.719261513766
"DIST_SHLTR_MEAN",211.973956283896
"DIST_WIFI_MEAN",365.468652624675
"DIST_MUNI_MEAN",264.150082382727
"DIST_LIB_MEAN",611.223447851948
"DIST_ENTR_MEDIAN",630.206258432987
"DIST_SHLTR_MEDIAN",182.65062879961
"DIST_WIFI_MEDIAN",321.802906736753
"DIST_MUNI_MEDIAN",221.208045665714
"DIST_LIB_MEDIAN",584.639055861039
